,line_number,label,start,end,text
83,84,,170818,172902,I told you not to practice-kiss the living-room pillow.
84,85,,172986,174112,The dog sleeps on it.
85,86,M,174196,175863,"I wasn't kissing a pillow, Mom."
86,87,M,175948,178366,I just... I didn't get a lot of sleep last night.
87,88,M,178450,180493,Maybe my dreams were just too loud or something.
88,89,,180577,182704,Or maybe you were out all night again with grandpa Rick.
89,90,,182788,183621,What?
90,91,,183706,184497,Dad?
91,92,R,184581,186374,"What, so everyone's supposed to sleep every single night now?"
92,93,R,186458,188626,You realize that nighttime makes up half of all time?
93,94,,188711,189544,Damn it!
94,96,,190879,191921,"Oh, my God. My parents are so loud."
95,97,,192005,192964,I want to die.
96,98,R,193048,194382,"Mm, there is no God, Summer."
97,99,R,194466,196259,You got to rip that band-aid off now. You'll thank me later.
98,100,,196343,198094,"Okay, with all due respect, Rick..."
99,101,,198178,200012,What am I talking about? What respect is due?
100,102,,200097,203683,How is my son supposed to pass his classes if you keep dragging
101,103,,203767,206394,him off for high-concept sci-fi rigamarole?
102,104,R,206478,208771,"Listen, Jerry, I-I don't want to overstep my bounds or anything."
103,105,R,208856,210398,It's your house. It's your world.
104,106,R,210482,211524,You're a real Julius Caesar.
105,107,R,211608,212692,But I'll tell you some... tell you how...
106,108,R,212776,213943,"how I feel about school, Jerry."
107,109,R,214027,215278,It's a waste of time...
108,110,R,215362,216696,"A bunch of people running around,"
109,111,R,216780,217822,bumping into each other.
110,112,R,217906,219574,"G-guy up front says,"
111,113,R,219658,221409,"The people in the back say, ""Four."""
112,114,R,221493,223578,"Then the bell rings, and they give you a carton of milk"
113,115,R,223662,226789,and a piece of paper that says you can go take a dump or something.
114,116,R,226874,229292,"I mean, it's... it's not a place for smart people, Jerry."
115,117,R,229376,230501,"And I know that's not a popular opinion,"
116,118,R,230586,233713,but it's my two cents on the issue.
117,119,R,233797,235423,"This was a good breakfast, Beth."
118,120,R,235507,237550,You really made the crap out of those eggs.
119,121,R,237634,239844,I wish your mother was here to eat them.
120,122,,239928,241220,"Oh, Dad."
121,123,,241305,242096,What?
122,124,,242181,244056,For real?
123,125,,244141,245808,"All right, now, everybody get settled."
124,126,,245893,247560,Get away from the windows!
125,127,,247644,248811,"Now, look, we're gonna be"
126,128,,248896,250772,dealing with some real serious stuff today.
127,129,,250856,252732,You might have heard of it. It's called math.
128,130,,252816,254859,"And without it, none of us would even exist,"
129,131,,254943,257069,so let's jump right in... two plus two.
130,132,M,257154,258154,Jessica.
131,133,,258238,259614,Five plus five.
132,134,,259698,260907,Tenssica.
133,135,,260991,261908,"Okay, good."
134,136,,261992,263075,It's time for the quiz.
135,137,,264244,265453,"Yeah, you know what?! Aw, too bad!"
136,138,,265537,266579,Tough!
137,139,,266663,268831,"First row, take one. Pass it back for me."
138,140,,268916,270708,The stakes are high in this room.
139,141,,270793,274045,There's crucial things happening here every day.
140,142,,274129,275004,People getting smarter.
141,143,,275088,276130,Some of y'all getting dumber.
142,144,,276215,278466,Some of y'all ain't gonna see 3:00.
143,145,,280260,281969,"Hi, Morty."
144,146,M,282054,283012,Whoa!
145,147,M,283096,284180,"Hi, Jessica."
146,148,,284264,285598,Can I show these to you?
147,149,M,285682,286557,Wow.
148,150,M,286642,287725,Th-they're both great.
149,151,M,287810,288726,Thank you.
150,152,,288811,289769,You know what I named these?
151,153,,289853,291062,My little Morties.
152,154,M,291146,293940,"Uh, that's flattering... and a little weird."
153,155,,294024,295983,Do you know what I want you to do with them?
154,156,M,296068,297026,Rename them?
155,157,,297110,298486,Squeeze them.
156,158,,298570,299654,Manhandle them.
157,159,,299738,300780,Give them the business.
158,160,,300864,302240,See if you can shuffle them.
159,161,,302324,304534,"I mean, really get in there and knock them around."
160,162,,304618,305785,No wrong answers.
161,163,M,305869,306661,Wow.
162,164,M,306745,308037,"Well, okay, Jessica."
163,165,M,308121,309497,L-let's give this a shot.
164,166,,309581,310748,Mm.
165,167,,310833,311833,"Oh, Morty."
166,168,,311917,313376,What are you doing to me?
167,169,,313460,315628,"Uh, I-I'm just doing my best."
168,170,,315712,316671,Morty!
169,171,,316755,317588,What are you doing to me?!
170,172,,317673,318506,Jessica.
171,173,,318590,319632,Morty!
172,174,,319716,321717,Jessica.
173,175,,321802,323761,"Five more minutes of this, and I'm gonna get mad."
174,176,,323846,325721,Je-Jessica.
175,177,,325806,327014,Jessica.
176,178,,327099,328266,Not my fault this is happening.
177,179,,330686,332395,"Well, well, well."
178,180,,332479,333396,"Uh, morning, Frank."
179,182,,334606,335523,What was... what is that supposed to mean?
180,183,,335607,336732,You making fun of me?
181,184,,336817,337942,Are you trying to say my family's poor?
182,185,M,338026,339068,"Oh, geez, Frank."
183,186,M,339152,340486,I don't know if a knife is necessary.
184,187,M,340571,342905,"I mean, you know, y-you kind of had things handled without it."
185,188,,342990,345241,You telling me how to bully now?
186,189,,345325,346701,"Big mistake, Morty."
187,190,,346785,351038,"And now I'm gonna cut you,"
188,191,R,352666,354000,"There you are, Morty."
189,192,R,354084,355251,Listen to me.
190,193,R,355335,356961,I got an errand to run in a whole different dimension.
191,194,R,357045,358546,I need an extra pair of hands.
192,195,M,358630,359755,"Oh, geez, Rick."
193,196,M,359840,361173,W-what'd you do to Frank?
194,197,R,361258,362633,"It's pretty obvious, Morty. I froze him."
195,198,R,362718,364552,"Now listen... I need your help, Morty."
196,199,R,364636,366178,"I mean, we got... we got to get..."
197,200,R,366263,368222,get the hell out of here and go take care of business.
198,201,R,369892,371350,"It's important. Come on, Morty."
199,202,M,371435,372393,"I don't know, Rick."
200,203,M,372477,373686,I-I can't leave school again.
201,204,R,373770,375146,Do you have any concept of how much higher the stakes
202,205,R,375230,376439,"get out there, Morty?"
203,206,R,376523,377940,What do you think... I can just do it all by myself?
204,207,R,378025,378900,Come on!
205,208,M,378984,380026,"Aw, geez. Okay."
206,209,M,380110,381402,I guess I can skip History.
207,210,M,381486,382945,What about Frank?
208,211,M,383030,384113,"I mean, shouldn't you unfreeze him?"
209,212,R,384197,385406,"I'll do it later, Morty."
210,213,R,385490,386449,He'll be fine.
211,214,R,386533,389327,Let's go.
212,215,,389411,391329,"Oh, my God."
213,216,,391413,393873,I'm about to walk past Frank Palicky.
214,217,,393957,397043,This is the story we'll be telling our children.
215,218,,397127,398336,"Hi, Frank."
216,219,,400213,402632,Aah!
217,220,,404217,407219,Scalpel.
218,221,,407304,408429,"Knock, knock."
219,222,,408513,409597,Jerry?
220,223,,409681,411682,"My manager gave me an hour for lunch, and I thought,"
221,224,,411767,414060,"where your wife works? """
222,225,,414144,415770,We're losing him.
223,226,,415854,417146,"Okay, he's back."
224,227,,417230,419607,"Jerry, please tell me you're here for an incredibly urgent reason."
225,228,,419691,421150,"Well, it's lunch."
226,229,,421234,424028,"I mean, it's one of three meals that have existed for millennia."
227,230,,424112,425154,Losing him.
228,231,,425238,426405,Stabilized.
229,232,,426490,428950,"Okay, I only ask, Jerry, because, as you know,"
230,233,,429034,431494,my job involves performing heart surgery.
231,234,,431578,432912,"Well, yeah, on horses."
232,235,,432996,434038,Excuse me?
233,236,,434122,435831,Okay. Let's not rehash thatfight.
234,237,,435916,438668,I sense that you're busy and will now be on my way.
235,238,,438752,439835,Whoa!
236,239,,439920,441420,What is this on the floor?
237,240,,441505,444966,Some kind of literature for a really nice-looking nursing home.
238,241,,445050,446717,"Hey, honey, crazy idea... bad pitch..."
239,242,,446802,448177,let's put your Dad here.
240,243,,448261,449637,Let's put your Dad in a nursing home.
241,244,,450722,451639,We're losing him.
242,245,,451723,452640,"Hey, Tom."
243,246,,452724,453683,We know when we're losing him.
244,247,,453767,455059,We can hear the beeps!
245,248,R,456353,457269,There she is. All right.
246,249,R,457354,458562,"Come on, Morty. Let's go."
247,250,M,458647,459522,"Oh, geez."
248,251,M,459606,460856,Okay.
249,252,M,462192,463651,"Oh, man, Rick."
250,253,M,463735,465027,What is this place?
251,254,R,465112,467738,"It's dimension 35C, and it's got the perfect"
252,255,R,467823,470783,"climate conditions for a special type of tree, Morty,"
253,256,R,470867,472159,"called a Mega tree,"
254,257,R,472244,473536,"and there's fruit in those trees,"
255,258,R,473620,475079,and there's seeds in those fruits.
256,259,R,475163,476539,I'm talking about Mega seeds.
257,260,R,476623,478833,"They're... they're incredibly powerful,"
258,261,R,478917,481002,"and I need them to help me with my research, Morty."
259,262,M,481086,483004,"Oh, man, Rick. I'm looking around this place,"
260,263,M,483088,484839,and I'm starting to work up some anxiety about this whole thing.
261,264,R,484923,485923,All right. All right. Calm down.
262,265,R,486008,487133,"Listen to me, Morty."
263,266,R,487217,489427,I know that new situations can be intimidating.
264,267,R,489511,491804,"You're looking around, and it's all scary and different, but,"
265,268,R,491888,494682,"you know, m-meeting them head on, charging right into them"
266,269,R,494766,496934,like a bull... that's how we grow as people.
267,270,R,497019,498769,I'm no stranger to scary situations.
268,271,R,498854,500229,I deal with them all the time.
269,272,R,500313,502481,"Now, if you just stick with me, Morty, we're gonna be..."
270,273,R,502566,503983,"Holy crap, Morty, run!"
271,274,,505193,507111,I never seen that thing before in my life.
272,275,,507195,508612,I don't even know what the hell it is!
273,276,,508697,509947,"We got to get out of here, Morty!"
274,277,,510032,510906,It's gonna kill us!
275,278,,510991,511991,We're gonna die!
276,279,,512075,513242,"We're gonna die, Morty!"
277,280,R,515537,517163,"Oh, Morty, take a deep breath."
278,281,R,517247,519248,"Breathe that... breathe that fresh air in, Morty."
279,282,R,519332,520541,Y-you smell that?
280,283,R,520625,522168,"That's the smell of adventure, Morty."
281,284,R,522252,524587,That's... that's the smell of... of... of... of a whole different
282,285,R,524671,526672,evolutionary timeline.
283,286,M,526757,527840,"All right, Rick, look..."
284,287,M,527924,529258,how much longer is this gonna be?
285,288,M,529342,530551,Shouldn't I be back at school by now?
286,289,R,530635,531761,Are you joking me?
287,290,R,531845,534263,"I mean, look at all the crazy crap surrounding us."
288,291,R,534347,535473,Look at that thing right there.
289,292,R,535557,536932,W-what the hell is that thing?
290,293,R,537017,538601,You think you're gonna see that kind of thing at school?
291,294,R,538685,540269,Look at it just lumbering around.
292,295,R,540353,542938,It defies all logic... that thing.
293,296,M,543023,544023,"Yeah, Rick, I get it."
294,297,M,544107,545524,We're surrounded by monsters.
295,298,M,545609,547401,That's kind of the reason why I want to leave.
296,299,,547486,548319,Ta-ta-ta-ta-ta-ta.
297,300,R,548403,551530,"Morty, you see this?"
298,301,R,551615,553574,"You see what we just stumbled upon, Morty?"
299,302,R,553658,554784,Any idea what that is down there?
300,303,M,554868,555951,The Mega trees?
301,304,R,556036,557328,"That's right, Morty... the Mega trees"
302,305,R,557412,558746,with the Mega fruit on them.
303,306,R,558830,560206,"And that's what I'm talking about, Morty."
304,307,R,560290,561665,That's where my seeds are.
305,308,R,561750,562792,"If we would have done what you wanted,"
306,309,R,562876,564126,"I would have never have found them,"
307,310,R,564211,565878,because y... because you're so in love with school.
308,311,M,565962,567213,"All right, all right."
309,312,M,567297,569131,"So, what's so special about these seeds, anyways?"
310,313,R,569216,570883,"You ask a lot of questions, Morty."
311,314,R,570967,572218,Not very charismatic.
312,315,R,572302,573677,It makes you kind of an under...
313,316,R,573762,575179,underfoot figure.
314,317,R,575263,576430,"Just take these shoes, Morty."
315,318,R,576515,578265,They're sp... special grappling shoes.
316,319,R,578350,580601,"When you're wearing these things... ba... these babies,"
317,320,R,580685,583312,"you can basically just walk on any surface you want, Morty..."
318,321,R,583396,585314,"up, down, below, turn around to the left."
319,322,R,585398,587233,These things really bring it all together.
320,323,,587317,588943,Aah!
321,324,R,589027,590194,"You have to turn them on, Morty!"
322,325,R,591238,592488,The shoes have to be turned on!
323,326,,592572,595324,I am not putting my father in a home!
324,327,,595408,597284,"He just came back into my life,"
325,328,,597369,600788,and you want to grab him and stuff him under a mattress like
326,329,,600872,602331,last month's Victoria's Secret?
327,330,,602415,604875,I told you... I was ordering you something for Valentine's Day.
328,331,,604960,609630,"More importantly, your father is a horrible influence on our son."
329,332,,609714,610965,"Everything cool in here, Beth?"
330,333,,611049,611882,"It's fine, Davin."
331,334,,611967,613008,"Okay, cool."
332,335,,613093,614510,"You know, we did something great today."
333,336,,614594,618097,There's nothing more noble and free than the heart of a horse.
334,337,,618181,620599,"Since we're fighting, if you ever have an affair"
335,338,,620684,622184,"with that guy, I will come to the hotel room"
336,339,,622269,624728,and blow my brains out all over your naked bodies.
337,340,,624813,627773,"Look, I appreciate the stress you're under, but"
338,341,,627858,630151,Morty was having trouble in school way before my dad moved
339,342,,630235,633529,"in, and the only influence I can see Rick having is that,"
340,343,,633613,636740,"for the first time in his life, Morty has a friend."
341,344,,639327,640786,"Well, maybe you're right."
342,345,,640871,642872,"Uh, yeah, maybe I am."
343,346,,642956,643873,I'm my father's daughter.
344,347,,643957,644957,I'm smart.
345,348,,645041,645916,Why do you think I'm a heart surgeon?
346,349,,646001,646834,Horse heart surgeon.
347,351,,648336,649879,This is Principal Vagina... no relation.
348,352,,649963,651714,I wonder if you and Morty's father might be able to have
349,353,,651798,652882,a chat with me this afternoon?
350,354,R,655719,658137,"Morty, oh, you really d-did a number on your legs right now."
351,355,R,659472,660681,"You know, you got to turn the shoes on, Morty,"
352,356,R,660765,661932,for them to work.
353,357,R,662017,663142,"Yeah, look... I turned mine on."
354,358,R,663226,664476,I had no problem getting down here.
355,359,R,664561,666061,It was a leisurely breeze.
356,360,M,666146,667396,"I'm in a lot of pain, Rick."
357,361,R,667480,668898,"Yeah, I can see that."
358,362,R,668982,671817,But do you think you'll still be able to help me collect
359,363,R,671902,673110,"my seeds, Morty?"
360,364,R,673195,674111,Are you kidding me?!
361,365,M,674196,675112,"That's it, Rick!"
362,366,M,675197,676447,That's the last straw!
363,367,M,676531,678407,I can't believe this... I'm sitting here with both
364,368,M,678491,680159,"of my legs broken, and you're still asking me"
365,369,M,680243,681785,about getting those seeds?!
366,370,,681870,683329,Ooh! Ow! Oh!
367,371,M,683413,684705,Y-y-you're a monster.
368,372,M,684789,686457,"Y-you're like Hitler, but..."
369,373,M,686541,688584,but even Hitler cared about Germany or something.
370,374,R,688668,690294,"Okay, hold on just a second, Morty."
371,375,,697761,701764,Ooh.
372,376,,701848,705392,Ohh.
373,377,,709814,711482,Ooh.
374,378,M,712525,713734,"Wow, Rick."
375,379,M,713818,716278,That stuff just healed my broken legs instantly.
376,380,M,716363,719573,"I mean, I've never felt so good in my life."
377,381,M,719658,720574,Thank you.
378,382,R,720659,721909,"Don't worry about it, Morty."
379,383,R,721993,723869,"Just come help me get these seeds, all right, buddy?"
380,384,M,723954,725120,"Sure thing, Rick."
381,385,R,725205,726705,"Not that you asked, Morty, but what just happened"
382,386,R,726790,729667,there is I went into a future dimension with such advanced
383,387,R,729751,731961,medicine that they had broken-leg serum at every
384,388,R,732045,733337,corner drugstore.
385,389,R,733421,734588,"The stuff was all over the place, Morty."
386,390,M,734673,736173,"Wow, that's pretty crazy, Rick."
387,391,R,736258,737591,"There's just one problem, Morty..."
388,392,R,737676,738801,one little hang-up.
389,393,R,738885,740469,"The dimension I visited was so advanced,"
390,394,R,740553,742680,"they had also halted the aging process,"
391,395,R,742764,744181,"and everyone there was young, Morty,"
392,396,R,744266,745391,and they had been forever.
393,397,R,745475,747059,"I was the only old person there, Morty."
394,398,R,747143,749270,"It was like I was some sort of, you know, celebrity,"
395,399,R,749354,750521,walking around.
396,400,R,750605,751981,I-I was fascinating to them.
397,401,R,752065,754316,"There were a lot of attractive women there, Morty, and they..."
398,402,R,754401,755985,they... they... they all wanted time with me.
399,403,R,756069,757820,"I had a lot of fun with a lot of young ladies,"
400,404,R,757904,759488,"but I spent so much time there,"
401,405,R,759572,760948,my interdimensional portal device...
402,406,R,761032,762658,"it's got no charge left, Morty."
403,407,R,762742,763701,It's got no charge left.
404,408,M,763785,764618,What?!
405,409,R,764703,765786,"It's as good as garbage, Morty."
406,410,R,765870,766829,"It's not gonna work anymore, Morty."
407,411,M,766913,767997,"Oh, geez, Rick, that's not good."
408,412,M,768081,769707,W-what are we gonna do?
409,413,M,769791,771875,I-I have to be back at school right now.
410,414,M,771960,773168,How are we gonna get back home?
411,415,R,773253,774795,"There's ways to get back home, Morty."
412,416,R,774879,776755,It's just... it's just gonna be a little bit of a hassle.
413,417,R,776840,778590,"We're gonna have to go through Interdimensional Customs,"
414,418,R,778675,781093,so you're gonna have to do me a real solid.
415,419,M,781177,782094,Uh-oh.
416,420,R,782178,783429,"When we get to Customs,"
417,421,R,783513,785514,"I'm gonna need you to take these seeds into the bathroom,"
418,422,R,785598,787057,and I'm gonna need you to put them way up
419,423,R,787142,788058,"inside your butthole, Morty."
420,424,M,788143,789351,In my butt?
421,425,R,789436,791061,"Put them way up inside there, as far as they can fit."
422,426,M,791146,792271,"Oh, geez, Rick."
423,427,M,792355,793564,I really don't want to have to do that.
424,428,R,793648,795107,"Well, somebody's got to do it, Morty."
425,429,R,795191,798110,Th-these seeds aren't gonna get through Customs unless they're
426,430,R,798194,799153,"in someone's rectum, Morty."
427,431,R,800322,801405,And they'll fall right out of mine.
428,432,R,801489,803073,"I've done this too many times, Morty."
429,433,R,803158,804283,"I mean, you're young."
430,434,R,804367,806201,"You've got your whole life ahead of you,"
431,435,R,806286,808454,"and your anal cavity is still taut, yet malleable."
432,436,R,808538,809872,"You got to do it for Grandpa, Morty."
433,437,R,809956,811707,Y-you've got to put these seeds inside your butt.
434,438,M,811791,812583,In my butt?
435,439,R,812667,813500,"Come on, Morty."
436,440,R,813585,814418,"Please, Morty."
437,441,R,814502,815544,"You have to do it, Morty."
438,442,M,815628,816545,"Oh, man."
439,443,,818006,820341,"The fact is, your son, Morty, has attended this school for a"
440,444,,820425,822801,total of seven hours over the last two months.
441,445,,822886,824428,What? Why didn't you notify us?
442,446,,824512,826305,I done been notifying you.
443,447,,826389,827681,Have you not been getting the messages
444,448,,827766,829099,I've been leaving with Morty's grandfather?
445,449,,829184,830267,Boom!
446,450,,830352,831894,Told you! In your face!
447,451,,831978,833771,He is ruining our child!
448,452,,833855,835272,"Wait, what am I celebrating?"
449,453,,835357,836982,"Yeah, see, I thought something was fishy there,"
450,454,,837067,838442,because it's usually Morty's grandpa that's taking
451,455,,838526,839318,him out of school.
452,456,,839402,840319,Summer?
453,457,,840403,843739,What kind of God lets this happen?
454,458,,843823,844907,We had a little incident.
455,459,,844991,846617,A student was frozen to death.
456,460,,846701,849745,And there's no evidence that a Latino student did it!
457,461,,849829,851413,Everyone wants to take this to a racial place.
458,462,,851498,852915,I won't let them.
459,463,,852999,856960,The Glarp Zone is for flarping and unglarping only.
460,464,,857045,859963,"So, I told him,"
461,465,,860048,861548,This... this guy...
462,466,,861633,862925,he doesn't understand interstellar currency.
463,467,,863009,864718,"It's, like, I'm trying to eat a Flimflam..."
464,468,,864803,866887,"like, that's what we eat on Girvonesk."
465,469,,866971,869765,The glarp zone is for flarping and unglarping only.
466,470,R,869849,871058,"I don't like it here, Morty."
467,471,R,871142,872393,I can't abide bureaucracy.
468,472,R,872477,874186,I don't like being told where to go and what to do.
469,473,R,874270,875604,I consider it a violation.
470,474,R,875688,877189,Did you get those seeds all the way up your butt?
471,475,M,877273,878315,"Yeah, Rick."
472,476,M,878400,879691,"Let's just get this over with, okay?"
473,477,M,879776,881360,"I mean, these things are pointy. They hurt."
474,478,R,881444,882611,That means they're good ones.
475,479,R,882695,884071,"You're a good kid, Morty."
476,480,R,884155,886365,Those Mega seeds are super valuable to my work.
477,481,R,886449,888117,You've been a huge help to me.
478,482,R,888201,890577,I'm gonna be able to do all kinds of things with them.
479,483,R,890662,892496,"It's gonna be great, Morty."
480,484,R,892580,893705,All kinds of science.
481,485,,893790,895082,"Okay, next through."
482,486,,895166,896959,Except you. You go over there.
483,487,R,897043,898085,Why does he have to go over there?
484,488,,898169,899211,Random check.
485,489,,899295,900295,He's got to go through the new machine.
486,490,R,900380,901380,What new... what new machine?
487,491,,901464,902506,It's a new machine.
488,492,,902590,903882,It detects stuff all the way up your butt.
489,493,R,903967,905634,"Run, Morty! Run!"
490,494,,905718,906802,Aah!
491,495,,906886,907803,Red alert!
492,496,,920316,922067,Ohhhhh!
493,497,,930285,931827,Hey! Ohhhhhh.
494,498,,932871,933704,Aah!
495,499,,933788,934830,Don't think about it!
496,500,,936833,938500,Ooh!
497,501,,941296,942212,"Oh, nice, Morty!"
498,502,,942297,943547,The student becomes the teacher.
499,503,,952223,953474,Whoooooo!
500,504,,953558,956018,Aah!
501,505,,956102,957686,"Aw, hell, no, dawg."
502,506,,957770,958979,You know me... I'm just trying to...
503,507,,959063,961231,Aah!
504,508,,964110,966153,"I need to type in the coordinates to our home world, Morty."
505,509,,966237,967696,Cover me.
506,510,,967780,969698,"I mean, you know, I-I don't want to shoot nobody."
507,511,,969782,970866,"They're just robots, Morty!"
508,512,,970950,972034,It's okay to shoot them!
509,513,,972118,973118,They're robots!
510,514,,973203,975162,Aah!
511,515,,975246,976580,My leg is shot off!
512,516,,976664,977998,Glenn's bleeding to death!
513,517,,978082,980167,Someone call his wife and children!
514,518,,980251,981293,"They're not robots, Rick!"
515,519,,981377,982628,"It's a figure of speech, Morty."
516,520,,982712,983670,They're bureaucrats.
517,521,,983755,984713,I don't respect them.
518,522,,984797,985964,"Just keep shooting, Morty."
519,523,,986049,988634,You have no idea what prison is like here!
520,524,,991554,993055,Holy crap! This is insane!
521,525,,1003399,1004358,"Come on, Morty!"
522,526,,1004442,1005734,We got to get the hell out of here!
523,527,,1009280,1011281,Wow.
524,528,,1011366,1013700,Did you just come into the cafeteria through a portal?
525,529,M,1013785,1015077,"Uh, yeah."
526,530,M,1015161,1017871,"Well, you know, my... my Ferrari's in the shop."
527,531,M,1019415,1020290,Ju... just kidding.
528,532,,1020375,1021959,"You're Morty, right?"
529,533,R,1022043,1023126,You can get his number later.
530,534,R,1023211,1024920,"Come on, Morty. We got to get out of here."
531,535,R,1025004,1026213,You got to get those seeds out of your ass.
532,536,,1026297,1027339,"Oh, look, honey."
533,537,,1027423,1029633,It's our son with Albert Ein-douche.
534,538,,1029717,1030801,What?
535,539,,1030885,1032302,"I'm an angry father, not an improvisor."
536,540,R,1032387,1033595,"Oh, hi, Jerry."
537,541,R,1033680,1035264,"Oh, my goodness, Morty!"
538,542,R,1035348,1036932,What are you doing out of class?
539,543,R,1037016,1038225,We talked about this.
540,544,R,1038309,1040102,Your... your parents and I are very disappointed in...
541,545,R,1040186,1042771,in this behavior.
542,546,R,1042855,1044648,No? No takers?
543,547,R,1044732,1046817,You guys should really not be touching that stuff.
544,548,R,1046901,1047859,It's beyond your reasoning.
545,549,,1047944,1048860,You're beyond our reasoning!
546,550,R,1048945,1050237,Takes one to know one.
547,551,,1050321,1054741,"Dad, how could you make my son miss an entire semester of school?"
548,552,,1054826,1056243,"I mean, it's not like he's a hot girl."
549,553,,1056327,1058287,He can't just bail on his life and set up shop
550,554,,1058371,1059538,in someone else's.
551,555,R,1059622,1060789,What... what are you guys doing with my stuff?
552,556,,1060873,1063542,We're moving you... to a nursing home.
553,557,R,1063626,1064543,A nursing home?
554,558,R,1064627,1065669,"What are... what are you, nuts?"
555,559,R,1065753,1066712,I'm a genius.
556,560,R,1066796,1068130,I build robots for fun.
557,561,,1068214,1070215,"Well, now you can build baskets and watch Paul Newman movies"
558,562,,1070300,1073594,on VHS and mentally scar the Boy Scouts every Christmas.
559,563,,1073678,1074511,What does that mean?
560,564,,1074596,1075429,It's personal.
561,565,M,1075513,1076763,"Dad, mom, c-come on."
562,566,M,1076848,1079099,Rick just needed my help is all.
563,567,,1079183,1080475,"Morty, stay out of this."
